año,id,Rareza,booster,Cat_Nico,search,Tier,name,desc,atk,def,type,Stars,subType,attribute,archetype,set_tag,setcode,ban_tcg,ban_ocg,ban_goat,image_url,image_url_small,Booster ABCD,repetida,repetida2,check rareza
2,14015067,C,SRL,#N/A,#VALUE!,9,Ancient One of the Deep Forest,"This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder.",1800,1900,Normal Monster,6,Beast,EARTH,null,"SRL-018,MRL-018,SRL-EN018,MRL-E018,","Spell Ruler,Spell Ruler,Spell Ruler,Spell Ruler,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/14015067.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/14015067.jpg,#N/A,FALSE,0,ok
2,10667321,??,Yugi Reloaded,,#VALUE!,--,Ancient Rules,Special Summon 1 Level 5 or higher Normal Monster from your hand.,null,null,Spell Card,0,Normal,0,null,"LDK2-ENK27,LCKC-EN039,YSYR-EN034,STON-EN037,CP07-EN019,DL13-EN016,STON-EN037,","Legendary Decks II,Legendary Collection Kaiba Mega Pack,Starter Deck: Yugi Reloaded,Strike of Neos,Champion Pack: Game Seven,Duelist League 13 participation cards,Strike of Neos,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/10667321.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/10667321.jpg,#N/A,FALSE,0,ok
2,17092736,R,Kaiba,#N/A,#VALUE!,--,Ancient Telescope,See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order.,null,null,Spell Card,0,Normal,0,null,"SDK-039,SDK-E036,","Starter Deck: Kaiba,Starter Deck: Kaiba,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/17092736.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/17092736.jpg,#N/A,FALSE,0,ok
2,48365709,C,Yugi,#N/A,#VALUE!,--,Ansatsu,A silent and deadly warrior specializing in assassinations.,1700,1200,Normal Monster,5,Warrior,EARTH,null,"SDY-016,SDY-E014,","Starter Deck: Yugi,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/48365709.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/48365709.jpg,#N/A,FALSE,0,ok
2,48539234,C,PSV,#N/A,#VALUE!,--,Appropriate,"Activate only when your opponent draws a card(s), except during their Draw Phase. Draw 2 cards.",null,null,Trap Card,0,Continuous,0,null,"RP02-EN008,PSV-024,PSV-E024,PSV-EN024,","Retro Pack 2,Pharaoh's Servant,Pharaoh's Servant,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/48539234.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/48539234.jpg,#N/A,FALSE,0,ok
2,85639257,SR,LOB,3,#VALUE!,3,Aqua Madoor,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,1200,2000,Normal Monster,4,Spellcaster,WATER,null,"YSKR-EN002,SDP-008,LOB-027,DB1-EN109,LCYW-EN221,LOB-EN027,LOB-E021,","Starter Deck: Kaiba Reloaded,Starter Deck: Pegasus,Legend of Blue Eyes White Dragon,Dark Beginning 1,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/85639257.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/85639257.jpg,3,FALSE,2,ok
2,85639257,SR,,3,#VALUE!,3,Aqua Madoor,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,1200,2000,Normal Monster,4,Spellcaster,WATER,null,"YSKR-EN002,DB1-EN109,SDP-008,LOB-027,LCYW-EN221,LOB-EN027,LOB-E021,","Starter Deck: Kaiba Reloaded,Dark Beginning 1,Starter Deck: Pegasus,Legend of Blue Eyes White Dragon,Legendary Collection 3: Yugi's World Mega Pack,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/85639257.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/85639257.jpg,3,TRUE,1,ok
2,53153481,C,LOB,#N/A,#VALUE!,--,Armaill,A strange warrior who manipulates three deadly blades with both hands and his tail.,700,1300,Normal Monster,3,Warrior,EARTH,null,"LOB-079,LOB-EN079,LOB-E062,","Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/53153481.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/53153481.jpg,#N/A,FALSE,0,ok
2,9076207,R,LOB,#N/A,#VALUE!,--,Armed Ninja,"FLIP: Target 1 Spell Card on the field; destroy that target. (If the target is Set, reveal it, and destroy it if it is a Spell Card. Otherwise, return it to its original position.)",300,300,Flip Effect Monster,1,Warrior,EARTH,Ninja,"RP01-EN013,LOB-106,DB1-EN130,SDP-018,DLG1-EN014,DL13-EN001,LOB-E086,LOB-EN106,","Retro Pack,Legend of Blue Eyes White Dragon,Dark Beginning 1,Starter Deck: Pegasus,Dark Legends,Duelist League 13 participation cards,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/9076207.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/9076207.jpg,#N/A,FALSE,0,ok
2,36868108,C,PSV,#N/A,#VALUE!,--,Armored Glass,You can only activate this card when a monster is equipped with an Equip Card. Negate the effects of all Equip Cards on the field during the turn this card is activated.,null,null,Trap Card,0,Normal,0,null,"PSV-019,PSV-EN019,PSV-E019,","Pharaoh's Servant,Pharaoh's Servant,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/36868108.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/36868108.jpg,#N/A,FALSE,0,ok
2,15480588,C,MRD,8,#VALUE!,8,Armored Lizard,A lizard with a very tough hide and a vicious bite.,1500,1200,Normal Monster,4,Reptile,EARTH,null,"DB1-EN143,MRD-005,SDJ-009,MRD-EN005,MRD-E005,","Dark Beginning 1,Metal Raiders,Starter Deck: Joey,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/15480588.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/15480588.jpg,8,FALSE,0,ok
2,17535588,C,LOB,#N/A,#VALUE!,--,Armored Starfish,A bluish starfish with a solid hide capable of fending off attacks.,850,1400,Normal Monster,4,Aqua,WATER,null,"LOB-116,LOB-EN116,LOB-E094,","Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/17535588.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/17535588.jpg,#N/A,FALSE,0,ok
2,20277860,C,MRD,8,#VALUE!,8,Armored Zombie,This warrior blindly swings a deadly blade with devastating force.,1500,0,Normal Monster,3,Zombie,DARK,null,"DB1-EN149,LCJW-EN184,MRD-013,MRD-EN013,MRD-E013,","Dark Beginning 1,Legendary Collection 4: Joey's World Mega Pack,Metal Raiders,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/20277860.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/20277860.jpg,8,FALSE,0,ok
2,63689843,C,PSV,#N/A,#VALUE!,--,Attack and Receive,"You can only activate this card when you take damage to your Life Points. Inflict 700 points of damage to your opponent's Life Points. Also, inflict 300 points of damage to your opponent's Life Points for each ""Attack and Receive"" card in your Graveyard.",null,null,Trap Card,0,Normal,0,null,"DB1-EN173,PSV-054,PSV-E054,PSV-EN054,","Dark Beginning 1,Pharaoh's Servant,Pharaoh's Servant,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/63689843.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/63689843.jpg,#N/A,FALSE,0,ok
2,40619825,UR,SRL,1,#VALUE!,1,Axe of Despair,"(This card is always treated as an ""Archfiend"" card.)\nThe equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; place this card on the top of your Deck.",null,null,Spell Card,0,Equip,0,Archfiend,"SYE-035,DT02-EN092,DLDI-EN003,YS15-ENL19,BP01-EN067,YS14-EN026,DB1-EN002,DLG1-EN052,RP01-EN051,BP02-EN131,YS15-END14,MRL-002,BP02-EN131,BP01-EN067,SRL-002,SRL-EN002,MRL-E002,","Starter Deck: Yugi Evolution,Duel Terminal 2,Duelist League Demo 2010,Dark Legion Starter Deck,Battle Pack: Epic Dawn,Super Starter: Space-Time Showdown,Dark Beginning 1,Dark Legends,Retro Pack,Battle Pack 2: War of the Giants,2-Player Starter Deck: Yuya & Declan,Magic Ruler,Battle Pack 2: War of the Giants,Battle Pack: Epic Dawn,Spell Ruler,Spell Ruler,Spell Ruler,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/40619825.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/40619825.jpg,1,FALSE,2,ok
2,40619825,UR,,1,#VALUE!,1,Axe of Despair,"(This card is always treated as an ""Archfiend"" card.)\nThe equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; place this card on the top of your Deck.",null,null,Spell Card,0,Equip,0,Archfiend,"DT02-EN092,DLDI-EN003,YS15-ENL19,BP01-EN067,DB1-EN002,DLG1-EN052,RP01-EN051,BP02-EN131,YS15-END14,MRL-002,SYE-035,YS14-EN026,BP02-EN131,BP01-EN067,SRL-002,SRL-EN002,MRL-E002,","Duel Terminal 2,Duelist League Demo 2010,Dark Legion Starter Deck,Battle Pack: Epic Dawn,Dark Beginning 1,Dark Legends,Retro Pack,Battle Pack 2: War of the Giants,2-Player Starter Deck: Yuya & Declan,Magic Ruler,Starter Deck: Yugi Evolution,Super Starter: Space-Time Showdown,Battle Pack 2: War of the Giants,Battle Pack: Epic Dawn,Spell Ruler,Spell Ruler,Spell Ruler,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/40619825.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/40619825.jpg,1,TRUE,1,ok
2,11901678,11,MRD,#N/A,#VALUE!,11,B. Skull Dragon,"""Summoned Skull"" + ""Red-Eyes B. Dragon""\n\n\n\n(This card is always treated as an ""Archfiend"" card.)",3200,2500,Fusion Effect Monster ,9,Dragon,DARK,Archfiend,"MIL1-EN011,LCJW-EN054,DLG1-EN029,DB1-EN153,MRD-018,BPT-006,RP01-EN028,MRD-E018,TP3-004,MRD-EN018,","Millennium Pack,Legendary Collection 4: Joey's World Mega Pack,Dark Legends,Dark Beginning 1,Metal Raiders,Booster Pack Collectors Tins 2002,Retro Pack,Metal Raiders,Tournament Pack: 3rd Season,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/11901678.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/11901678.jpg,#N/A,FALSE,0,ok
2,88819587,C,MRD,9,#VALUE!,9,Baby Dragon,"Much more than just a child, this dragon is gifted with untapped power.",1200,700,Normal Monster,3,Dragon,WIND,null,"SS02-ENB06,DB2-EN035,LDK2-ENJ09,DLG1-EN035,MRD-061,SDJ-003,RP01-EN034,LCJW-EN006,MRD-E061,MRD-EN061,","Speed Duel Starter Decks: Duelists of Tomorrow,Dark Beginning 2,Legendary Decks II,Dark Legends,Metal Raiders,Starter Deck: Joey,Retro Pack,Legendary Collection 4: Joey's World Mega Pack,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/88819587.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/88819587.jpg,9,FALSE,0,ok
2,36280194,R,PSV,#N/A,#VALUE!,--,Backup Soldier,While there are 5 or more monsters in your Graveyard: Target up to 3 non-Effect Monsters with 1500 or less ATK in your Graveyard; add them to your hand.,null,null,Trap Card,0,Normal,0,null,"5DS1-EN035,SYE-047,LDK2-ENY39,DB1-EN082,PSV-028,PSV-EN028,PSV-E028,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Yugi Evolution,Legendary Decks II,Dark Beginning 1,Pharaoh's Servant,Pharaoh's Servant,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/36280194.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/36280194.jpg,#N/A,FALSE,2,ok
2,36280194,R,,#N/A,#VALUE!,--,Backup Soldier,While there are 5 or more monsters in your Graveyard: Target up to 3 non-Effect Monsters with 1500 or less ATK in your Graveyard; add them to your hand.,null,null,Trap Card,0,Normal,0,null,"5DS1-EN035,SYE-047,LDK2-ENY39,DB1-EN082,PSV-028,PSV-EN028,PSV-E028,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Yugi Evolution,Legendary Decks II,Dark Beginning 1,Pharaoh's Servant,Pharaoh's Servant,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/36280194.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/36280194.jpg,#N/A,TRUE,1,ok
2,61528025,SR,SRL,3,#VALUE!,3,Banisher of the Light,Any card sent to the Graveyard is banished instead.,100,2000,Effect Monster,3,Fairy,LIGHT,null,"DB1-EN044,MRL-078,LCYW-EN231,SRL-078,SRL-EN078,MRL-E078,","Dark Beginning 1,Magic Ruler,Legendary Collection 3: Yugi's World Mega Pack,Spell Ruler,Spell Ruler,Spell Ruler,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/61528025.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/61528025.jpg,3,FALSE,0,ok
2,86325596,R,Yugi,#N/A,#VALUE!,--,Baron of the Fiend Sword,An aristocrat who wields a sword possessed by a malicious spirit that preys on the weak.,1550,800,Normal Monster,4,Fiend,DARK,null,"SDY-036,SDY-E033,","Starter Deck: Yugi,Starter Deck: Yugi,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/86325596.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/86325596.jpg,#N/A,FALSE,0,ok
2,81480461,C,MRD,#N/A,#VALUE!,--,Barrel Dragon,Once per turn: You can target 1 monster your opponent controls; toss a coin 3 times and destroy it if at least 2 of the results are Heads.,2600,2200,Effect Monster,7,Machine,DARK,null,"LED2-EN019,DT02-EN005,DPBC-EN041,DLG1-EN045,LCJW-EN177,MC1-EN002,MRD-126,RP01-EN044,DB2-EN072,DL1-E002,MRD-E126,MRD-EN126,","Legendary Duelists: Ancient Millennium,Duel Terminal 2,Duelist Pack: Battle City,Dark Legends,Legendary Collection 4: Joey's World Mega Pack,Master Collection Volume 1,Metal Raiders,Retro Pack,Dark Beginning 2,Duelist League Series 1 participation cards,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/81480461.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/81480461.jpg,#N/A,FALSE,0,ok
2,89091579,C,LOB,#N/A,#VALUE!,--,Basic Insect,"Usually found traveling in swarms, this creature's ideal environment is the forest.",500,700,Normal Monster,2,Insect,EARTH,null,"LOB-008,LOB-EN008,LOB-E006,","Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/89091579.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/89091579.jpg,#N/A,FALSE,0,ok
2,5053103,R,Kaiba,#N/A,#VALUE!,--,Battle Ox,"A monster with tremendous power, it destroys enemies with a swing of its axe.",1700,1000,Normal Monster,4,Beast-Warrior,EARTH,null,"YSKR-EN004,SS02-ENA02,SDK-005,LDK2-ENK09,SKE-002,DEM2-EN004,SDK-E004,","Starter Deck: Kaiba Reloaded,Speed Duel Starter Decks: Duelists of Tomorrow,Starter Deck: Kaiba,Legendary Decks II,Starter Deck: Kaiba Evolution,Demo Deck 2015,Starter Deck: Kaiba,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/5053103.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/5053103.jpg,#N/A,FALSE,0,ok
2,18246479,C,MRD,#N/A,#VALUE!,--,Battle Steer,"A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.",1800,1300,Normal Monster,5,Beast-Warrior,EARTH,null,"DB2-EN037,MRD-064,MRD-EN064,MRD-E064,","Dark Beginning 2,Metal Raiders,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/18246479.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/18246479.jpg,#N/A,FALSE,0,ok
2,46009906,C,LOB,#N/A,#VALUE!,6,Beast Fangs,A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.,null,null,Spell Card,0,Equip,0,null,"LOB-041,LOB-E032,LOB-EN041,","Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,Legend of Blue Eyes White Dragon,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/46009906.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/46009906.jpg,#N/A,FALSE,0,ok
2,11761845,SR,PSV,#N/A,#VALUE!,--,Beast of Talwar,"Only the master of the sword among the Fiend-Type monsters is permitted to hold the Talwar.\n\n\n(This card is always treated as an ""Archfiend"" card.)",2400,2150,Normal Monster,6,Fiend,DARK,Archfiend,"YS15-ENL01,LCJW-EN236,PSV-103,YS15-END01,PSV-EN103,PSV-E103,","Dark Legion Starter Deck,Legendary Collection 4: Joey's World Mega Pack,Pharaoh's Servant,2-Player Starter Deck: Yuya & Declan,Pharaoh's Servant,Pharaoh's Servant,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/11761845.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/11761845.jpg,#N/A,FALSE,0,ok
2,32452818,C,SRL,9,#VALUE!,9,Beaver Warrior,What this creature lacks in size it makes up for in defense when battling in the prairie.,1200,1500,Normal Monster,4,Beast-Warrior,EARTH,null,"SDY-005,DB1-EN121,YGLD-ENA12,LOB-064,SYE-006,LOB-EN064,MRL-E103,","Starter Deck: Yugi,Dark Beginning 1,Yugi's Legendary Decks,Legend of Blue Eyes White Dragon,Starter Deck: Yugi Evolution,Legend of Blue Eyes White Dragon,Spell Ruler,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/32452818.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/32452818.jpg,9,FALSE,2,ok
2,32452818,C,LOB,9,#VALUE!,9,Beaver Warrior,What this creature lacks in size it makes up for in defense when battling in the prairie.,1200,1500,Normal Monster,4,Beast-Warrior,EARTH,null,"SDY-005,DB1-EN121,YGLD-ENA12,LOB-064,SYE-006,LOB-EN064,MRL-E103,","Starter Deck: Yugi,Dark Beginning 1,Yugi's Legendary Decks,Legend of Blue Eyes White Dragon,Starter Deck: Yugi Evolution,Legend of Blue Eyes White Dragon,Spell Ruler,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/32452818.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/32452818.jpg,9,TRUE,1,ok
2,32452818,C,Yugi,9,#VALUE!,9,Beaver Warrior,What this creature lacks in size it makes up for in defense when battling in the prairie.,1200,1500,Normal Monster,4,Beast-Warrior,EARTH,null,"SDY-005,DB1-EN121,YGLD-ENA12,LOB-064,SYE-006,LOB-EN064,MRL-E103,","Starter Deck: Yugi,Dark Beginning 1,Yugi's Legendary Decks,Legend of Blue Eyes White Dragon,Starter Deck: Yugi Evolution,Legend of Blue Eyes White Dragon,Spell Ruler,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/32452818.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/32452818.jpg,9,TRUE,1,ok
2,25655502,11,MRD,#N/A,#VALUE!,11,Bickuribox,"""Crass Clown"" + ""Dream Clown""",2300,2000,Fusion Monster,7,Fiend,DARK,null,"MRD-093,MRD-E093,MRD-EN093,","Metal Raiders,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/25655502.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/25655502.jpg,#N/A,FALSE,0,ok
2,16768387,R,MRD,#N/A,#VALUE!,--,Big Eye,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.",1200,1000,Flip Effect Monster,4,Fiend,DARK,null,"BPW2-EN003,DB1-EN152,MRD-017,SDJ-018,LCYW-EN230,WGRT-EN003,MRD-E017,MRD-EN017,","War of the Giants: Round 2,Dark Beginning 1,Metal Raiders,Starter Deck: Joey,Legendary Collection 3: Yugi's World Mega Pack,War of the Giants Reinforcements,Metal Raiders,Metal Raiders,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/16768387.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/16768387.jpg,#N/A,FALSE,0,ok
2,35539880,#N/A,Kaiba Reloaded,,#VALUE!,--,Birthright,"Activate this card by targeting 1 Normal Monster in your Graveyard; Special Summon that target in face-up Attack Position. When this card leaves the field, destroy that monster. When that monster leaves the field, destroy this card.",null,null,Trap Card,0,Continuous,0,null,"5DS1-EN040,YSKR-EN047,SDWS-EN037,STON-EN057,STON-EN057,","Starter Deck: Yu-Gi-Oh! 5D's,Starter Deck: Kaiba Reloaded,Warriors' Strike Structure Deck,Strike of Neos,Strike of Neos,",null,null,null,https://storage.googleapis.com/ygoprodeck.com/pics/35539880.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/35539880.jpg,#N/A,FALSE,0,ok
