"id","name","type","desc","atk","def","level","race","attribute","archetype","set_tag","setcode","image_url","image_url_small"
"49791928","Tiger Axe","Normal Monster","A fast and powerful axe-wielding beast-warrior.","1300","1100","4","Beast-Warrior","EARTH","","MIL1-EN031,DB2-EN091,LCJW-EN008,TP1-012,TP1-E012,","Millennium Pack,Dark Beginning 2,Legendary Collection 4: Joey's World Mega Pack,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/49791928.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/49791928.jpg"
"50259460","Versago the Destroyer","Effect Monster","You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).","1100","900","3","Fiend","DARK","","TP5-EN015,GLD4-EN006,TP1-015,TP1-E015,","Tournament Pack 5,Gold Series 4: Pyramids Edition,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/50259460.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/50259460.jpg"
"52584282","Hercules Beetle","Normal Monster","A massive beetle with a tough carapace and a dangerous horn.","1500","2000","5","Insect","EARTH","","TP1-025,TP1-E025,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/52584282.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/52584282.jpg"
"53493204","Goddess with the Third Eye","Effect Monster","You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).","1200","1000","4","Fairy","LIGHT","","DB2-EN097,TP5-EN010,GLD4-EN004,TP1-013,TP1-E013,","Dark Beginning 2,Tournament Pack 5,Gold Series 4: Pyramids Edition,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/53493204.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/53493204.jpg"
"55321970","Gust Fan","Spell Card","A WIND monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.","","","","Equip","","","TP1-011,TP1-E011,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/55321970.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/55321970.jpg"
"56260110","Raimei","Spell Card","Decrease your opponent's Life Points by 300 points.","","","","Normal","","","TP1-009,TP1-E009,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/56260110.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/56260110.jpg"
"57405307","Winged Dragon, Guardian of the Fortress 2","Normal Monster","This monster's wings are capable of generating tornadoes.","1200","1000","4","Winged Beast","WIND","","TP1-022,TP1-E022,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/57405307.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/57405307.jpg"
"69750536","Wow Warrior","Normal Monster","A fish with arms, legs, and some very sharp teeth.","1250","900","4","Fish","WATER","","TP1-021,TP1-E021,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/69750536.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/69750536.jpg"
"75559356","Cyber Soldier of Darkworld","Normal Monster","A mechanical soldier that won't stop attacking until all life readings have been extinguished from its sensors.","1400","1200","4","Machine","DARK","","TP1-028,TP1-E028,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/75559356.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/75559356.jpg"
"76775123","Patrol Robo","Effect Monster","During your Standby Phase, you can look at 1 face-down card that's been Set by your opponent as long as this card remains face-up on the field.","1100","900","3","Machine","EARTH","","TP3-008,TP1-004,TP1-E004,","Tournament Pack: 3rd Season,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/76775123.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/76775123.jpg"
"82065276","Oscillo Hero","Normal Monster","A strange warrior from another dimension.","1250","700","3","Warrior","EARTH","","TU04-EN013,TP1-023,TP1-E023,","Turbo Pack: Booster Four,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/82065276.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/82065276.jpg"
"82085619","Shining Friendship","Normal Monster","The peacemaker among monsters.","1300","1100","4","Fairy","LIGHT","","DB2-EN089,TP1-024,TP1-E024,","Dark Beginning 2,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/82085619.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/82085619.jpg"
"84990171","Bean Soldier","Normal Monster","A plant-warrior that attacks with seeds and sword.","1400","1300","4","Plant","EARTH","","TP1-018,TP1-E018,","Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/84990171.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/84990171.jpg"
"95144193","Kwagar Hercules","Fusion Monster","""Kuwagata α"" + ""Hercules Beetle""","1900","1700","6","Insect","EARTH","","TP3-007,TP1-003,TP1-E003,","Tournament Pack: 3rd Season,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/95144193.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/95144193.jpg"
"99426834","Beastking of the Swamps","Effect Monster","You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).","1000","1100","4","Aqua","WATER","","TP5-EN014,GLD4-EN005,TP1-014,TP1-E014,","Tournament Pack 5,Gold Series 4: Pyramids Edition,Tournament Pack: 1st Season,Tournament Pack: 1st Season,","https://storage.googleapis.com/ygoprodeck.com/pics/99426834.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/99426834.jpg"
