"id","name","type","desc","atk","def","level","race","attribute","scale","archetype","set_tag","setcode","ban_tcg","ban_ocg","ban_goat","image_url","image_url_small"
"28563545","Dragon Seeker","Effect Monster","When this card is Normal Summoned or Flip Summoned, destroy 1 face-up Dragon-Type monster on the field.","2000","2100","6","Fiend","DARK","","","DB2-EN101,TP4-006,TP2-002,","Dark Beginning 2,Tournament Pack 4,Tournament Pack: 2nd Season,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/28563545.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/28563545.jpg"
"29726552","Kumongous, the Sticky String Kaiju","Effect Monster","You can Special Summon this card (from your hand) to your opponent's field in Attack Position, by Tributing 1 monster they control. If your opponent controls a ""Kaiju"" monster, you can Special Summon this card (from your hand) in Attack Position. You can only control 1 ""Kaiju"" monster. When your opponent Normal or Special Summons a monster(s): You can remove 2 Kaiju Counters from anywhere on the field; until the end of the next turn, that monster(s) cannot attack and it has its effects negated.","2400","2500","7","Insect","EARTH","","Kaiju","MP16-EN099,CORE-EN088,OP04-EN008,","2016 Mega-Tin Mega Pack,Clash of Rebellions,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/29726552.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/29726552.jpg"
"29929832","Marine Beast","Fusion Monster","""Water Magician"" + ""Behegon""","1700","1600","5","Fish","WATER","","","OP04-EN022,","OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/29929832.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/29929832.jpg"
"30741334","Coach King Giantrainer","XYZ Monster","3 Level 8 monsters\nYou can detach 1 Xyz Material from this card; draw 1 card and show it, then if it was a monster, inflict 800 damage to your opponent. You cannot conduct your Battle Phase the turn you activate this effect. You can only use this effect of ""Coach King Giantrainer"" up to thrice per turn.","2800","2000","8","Warrior","FIRE","","","OP04-EN024,NUMH-EN037,","OTS Tournament Pack 4,Number Hunters,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/30741334.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/30741334.jpg"
"33508719","Morphing Jar","Flip Effect Monster","FLIP: Both players discard their entire hands, then draw 5 cards.","700","600","2","Rock","EARTH","","","OP09-EN004,SDRL-EN007,GLD4-EN007,LCYW-EN121,PGLD-EN081,BP01-EN173,CP02-EN009,BP01-EN173,DB2-EN104,RP02-EN083,DL11-EN007,TP4-002,TP2-001,","OTS Tournament Pack 9,Rise of the Dragon Lords Structure Deck,Gold Series 4: Pyramids Edition,Legendary Collection 3: Yugi's World Mega Pack,Premium Gold,Battle Pack: Epic Dawn,Champion Pack: Game Two,Battle Pack: Epic Dawn,Dark Beginning 2,Retro Pack 2,Duelist League 2 participation cards,Tournament Pack 4,Tournament Pack: 2nd Season,","Limited","Limited","Limited","https://storage.googleapis.com/ygoprodeck.com/pics/33508719.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/33508719.jpg"
"33782437","One Day of Peace","Spell Card","Each player draws 1 card, and neither player takes damage until the end of the opponent's next turn.","","","","Normal","","","","PHSW-EN060,OP04-EN012,","Photon Shockwave,OTS Tournament Pack 4,","Limited","Limited","","https://storage.googleapis.com/ygoprodeck.com/pics/33782437.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/33782437.jpg"
"34267821","Artifact Lancea","Effect Monster","You can Set this card from your hand to your Spell & Trap Zone as a Spell Card. During your opponent's turn, if this Set card in the Spell & Trap Zone is destroyed and sent to your Graveyard: Special Summon it. During your opponent's turn: You can Tribute this card from your hand or face-up from your field; neither player can banish cards for the rest of this turn (this is a Quick Effect).","1700","2300","5","Fairy","LIGHT","","Artifact","OP04-EN020,MP15-EN089,DUEA-EN034,","OTS Tournament Pack 4,2015 Mega-Tin Mega Pack,Duelist Alliance,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/34267821.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/34267821.jpg"
"40605147","Solemn Strike","Trap Card","When a monster(s) would be Special Summoned, or a monster effect is activated: Pay 1500 LP; negate the Summon or activation, and if you do, destroy that card.","","","","Counter","","","Solemn","COTD-ENSE2,BLRR-EN102,MP16-EN231,BOSH-EN079,OP04-EN003,","Code of the Duelist Special Edition,Battles of Legend: Relentless Revenge,2016 Mega-Tin Mega Pack,Breakers of Shadow,OTS Tournament Pack 4,","","Semi-Limited","","https://storage.googleapis.com/ygoprodeck.com/pics/40605147.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/40605147.jpg"
"45206713","D/D Swirl Slime","Effect Monster","If this card is in your hand: You can Fusion Summon 1 ""D/D/D"" Fusion Monster from your Extra Deck, using monsters from your hand as Fusion Materials, including this card. You can banish this card from your Graveyard; Special Summon 1 ""D/D"" monster from your hand. You can only use each effect of ""D/D Swirl Slime"" once per turn.","200","200","2","Fiend","DARK","","D/D","DOCS-EN011,MP16-EN114,SP17-EN026,SP17-EN026,OP04-EN009,","Dimension of Chaos,2016 Mega-Tin Mega Pack,Star Pack Battle Royal,Star Pack Battle Royal,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/45206713.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/45206713.jpg"
"46502744","Retaliating ""C""","Effect Monster","During either player's turn, when your opponent activates a Spell Card that includes an effect that Special Summons a monster(s): You can Special Summon this card from your hand. If Summoned this way, while this card is face-up on the field, any card sent to the Graveyard is banished instead. If this card is sent from the field to the Graveyard: You can add 1 EARTH Insect-Type monster with 1500 or less ATK from your Deck to your hand, except ""Retaliating ""C"""".","1400","1400","4","Insect","EARTH","","","CORE-EN045,MP16-EN076,OP04-EN007,","Clash of Rebellions,2016 Mega-Tin Mega Pack,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/46502744.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/46502744.jpg"
"47961808","Barrier Statue of the Inferno","Effect Monster","Neither player can Special Summon monsters, except FIRE monsters.","1000","1000","4","Pyro","FIRE","","","CDIP-EN020,OP04-EN018,","Cyberdark Impact,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/47961808.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/47961808.jpg"
"51452091","Royal Decree","Trap Card","Negate all other Trap effects on the field.","","","","Continuous","","","","THSF-EN058,DB2-EN106,LCYW-EN182,RP02-EN084,SD5-EN035,DUSA-EN047,HL03-EN006,TP6-EN004,TP4-001,","The Secret Forces,Dark Beginning 2,Legendary Collection 3: Yugi's World Mega Pack,Retro Pack 2,Structure Deck: Warrior's Triumph,Duelist Saga,Hobby League 3 participation card F,Tournament Pack 6,Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/51452091.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/51452091.jpg"
"56832966","Number S39: Utopia the Lightning","XYZ Monster","3 Level 5 LIGHT monsters\nYou can also Xyz Summon this card by using a Rank 4 ""Utopia"" monster you control as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) Cannot be used as an Xyz Material for an Xyz Summon. If this card battles, your opponent cannot activate cards or effects until the end of the Damage Step. Once per Chain, during damage calculation in either player's turn, if this card battles an opponent's monster while this card has a ""Utopia"" Xyz Monster as Xyz Material: You can detach 2 Xyz Materials from this card; this card's ATK becomes 5000 during that damage calculation only.","2500","2000","5","Warrior","LIGHT","","Utopia ","TDIL-ENSE2,LCKC-EN087,YZ08-EN001,OP04-EN001,","The Dark Illusion: Special Edition,Legendary Collection Kaiba Mega Pack,Yu-Gi-Oh! ZEXAL Volume 8 promotional card,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/56832966.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/56832966.jpg"
"56910167","Superdreadnought Rail Cannon Gustav Max","XYZ Monster","2 Level 10 monsters\nOnce per turn: You can detach 1 Xyz Material from this card; inflict 2000 damage to your opponent.","3000","3000","10","Machine","EARTH","","","LED4-EN039,CT10-EN007,OP04-EN023,JUMP-EN062,","Legendary Duelists: Sisters of the Rose,2013 Collectible Tins Wave 1,OTS Tournament Pack 4,Weekly Shonen Jump Alpha September 2012 membership promotional card,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/56910167.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/56910167.jpg"
"58831685","Giant Red Seasnake","Normal Monster","A sea-dwelling snake that attacks passing enemies with its sharp teeth.","1800","800","4","Aqua","WATER","","","LCKC-EN097,TP4-007,TP2-003,WP11-EN008,","Legendary Collection Kaiba Mega Pack,Tournament Pack 4,Tournament Pack: 2nd Season,World Championship 2011 Card Pack,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/58831685.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/58831685.jpg"
"59344077","Magic Drain","Trap Card","When your opponent activates a Spell Card: They can discard 1 Spell Card to negate this card's effect, otherwise negate the activation of their Spell Card, and if you do, destroy it.","","","","Counter","","","","SD7-EN028,RP02-EN017,5DS2-EN035,PSV-071,DB1-EN185,DL13-EN020,TP4-017,BP01-EN090,BP01-EN090,PSV-EN071,PSV-E071,","Structure Deck: Invincible Fortress,Retro Pack 2,Starter Deck: Yu-Gi-Oh! 5D's 2009,Pharaoh's Servant,Dark Beginning 1,Duelist League 13 participation cards,Tournament Pack 4,Battle Pack: Epic Dawn,Battle Pack: Epic Dawn,Pharaoh's Servant,Pharaoh's Servant,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/59344077.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/59344077.jpg"
"65367484","Photon Thrasher","Effect Monster","Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) while you control no monsters. Cannot attack if you control another monster.","2100","0","4","Warrior","LIGHT","","Photon","LED3-EN041,ORCS-EN008,YS17-EN009,BP02-EN103,SP14-EN007,BP02-EN103,SP14-EN007,OP04-EN006,AP01-EN003,","Legendary Duelists: White Dragon Abyss,Order of Chaos,Starter Deck: Link Strike,Battle Pack 2: War of the Giants,Star Pack 2014,Battle Pack 2: War of the Giants,Star Pack 2014,OTS Tournament Pack 4,Astral Pack One,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/65367484.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/65367484.jpg"
"66362965","The Fiend Megacyber","Effect Monster","If your opponent controls at least 2 more monsters than you do, you can Special Summon this card (from your hand).","2200","1200","6","Warrior","DARK","","","LCJW-EN029,DB1-EN203,BP02-EN009,DEM1-EN007,BP02-EN009,PSV-100,TP4-005,PSV-E100,PSV-EN100,","Legendary Collection 4: Joey's World Mega Pack,Dark Beginning 1,Battle Pack 2: War of the Giants,Demo Pack,Battle Pack 2: War of the Giants,Pharaoh's Servant,Tournament Pack 4,Pharaoh's Servant,Pharaoh's Servant,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/66362965.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/66362965.jpg"
"66399653","Union Hangar","Spell Card","When this card is activated: You can add 1 LIGHT Machine-Type Union monster from your Deck to your hand. Once per turn, if a LIGHT Machine-Type Union monster(s) is Normal or Special Summoned to your field (except during the Damage Step): You can target 1 of those monsters; equip 1 appropriate LIGHT Machine-Type Union monster, with a different name, from your Deck to that monster, but the Union monster you equipped cannot be Special Summoned this turn. You can only activate 1 ""Union Hangar"" per turn.","","","","Field","","","","OP04-EN013,BLRR-EN092,SDKS-EN020,","OTS Tournament Pack 4,Battles of Legend: Relentless Revenge,Structure Deck: Seto Kaiba,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/66399653.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/66399653.jpg"
"67136033","Coach Captain Bearman","Effect Monster","You can Normal Summon this card without Tributing, but its original ATK becomes 1300. Once per turn: You can make all Level 4 Beast-Warrior-Type monsters you currently control become Level 8 until the end of this turn. This card cannot be used as an Xyz Material for an Xyz Summon, except for the Xyz Summon of a FIRE Warrior-Type monster.","2600","2700","8","Beast-Warrior","FIRE","","","OP04-EN019,MP14-EN118,JOTL-EN092,","OTS Tournament Pack 4,2014 Mega-Tin Mega Pack,Judgment of the Light,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/67136033.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/67136033.jpg"
"69351984","Metalfoes Volflame","Pendulum Normal Monster","[ Pendulum Effect ]\r\nOnce per turn: You can target 1 other face-up card you control; destroy it, and if you do, Set 1 ""Metalfoes"" Spell/Trap Card directly from your Deck.\r\n----------------------------------------\r\n[ Flavor Text ]\r\nRoasting red rockets boost its blazing, bright-blast burners to liquified lava levels. Vanquisher of the Vanisher!","2400","2000","7","Psychic","FIRE","8","Metalfoes","TDIL-EN024,MP17-EN079,OP04-EN004,","The Dark Illusion,2017 Mega-Tin Mega Pack,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/69351984.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/69351984.jpg"
"70046172","Rush Recklessly","Spell Card","Target 1 face-up monster on the field; it gains 700 ATK until the end of this turn.","","","","Quick-Play","","","","5DS1-EN025,YS15-ENF17,YS15-ENL18,CP02-EN013,YSDJ-EN021,YSDS-EN022,SDP-033,YSKR-EN031,BP03-EN134,DB1-EN027,DT03-EN041,SKE-036,TP4-010,BP02-EN133,BP03-EN134,BP02-EN133,SRL-043,5DS2-EN022,MRL-043,SRL-EN043,YS15-ENY14,MRL-E043,","Starter Deck: Yu-Gi-Oh! 5D's,Saber Force Starter Deck,Dark Legion Starter Deck,Champion Pack: Game Two,Starter Deck: Jaden Yuki,Starter Deck: Syrus Truesdale,Starter Deck: Pegasus,Starter Deck: Kaiba Reloaded,Battle Pack 3: Monster League,Dark Beginning 1,Duel Terminal 3,Starter Deck: Kaiba Evolution,Tournament Pack 4,Battle Pack 2: War of the Giants,Battle Pack 3: Monster League,Battle Pack 2: War of the Giants,Spell Ruler,Starter Deck: Yu-Gi-Oh! 5D's 2009,Magic Ruler,Spell Ruler,2-Player Starter Deck: Yuya & Declan,Spell Ruler,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/70046172.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/70046172.jpg"
"74069667","D/D/D Oblivion King Abyss Ragnarok","Pendulum Effect Monster","[ Pendulum Effect ]\r\nIf you Special Summon a ""D/D"" monster(s), except during the Damage Step: You can target 1 ""D/D"" monster in your Graveyard; any battle damage your opponent takes becomes halved for the rest of this turn, also Special Summon that monster, and if you do, take 1000 damage. You can only use this effect of ""D/D/D Oblivion King Abyss Ragnarok"" once per turn.\r\n----------------------------------------\r\n[ Monster Effect ]\r\nIf this card is Normal or Special Summoned: You can target 1 ""D/D/D"" monster in your Graveyard; Special Summon it. You can only use this effect of ""D/D/D Oblivion King Abyss Ragnarok"" once per turn. Once per turn: You can Tribute 1 other ""D/D"" monster, then target 1 monster your opponent controls; banish it.","2200","3000","8","Fiend","DARK","5","D/D","DOCS-EN099,SDPD-EN012,SP17-EN029,SP17-EN029,OP04-EN010,","Dimension of Chaos,Pendulum Domination Structure Deck,Star Pack Battle Royal,Star Pack Battle Royal,OTS Tournament Pack 4,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/74069667.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/74069667.jpg"
"79161790","Inverse Universe","Trap Card","Switch the ATK and DEF of all face-up Effect Monsters on the field.","","","","Normal","","","","OP04-EN026,BP01-EN106,ABPF-EN080,BP01-EN106,","OTS Tournament Pack 4,Battle Pack: Epic Dawn,Absolute Powerforce,Battle Pack: Epic Dawn,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/79161790.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/79161790.jpg"
"79569173","Seismic Shockwave","Trap Card","Destroy this card during your 3rd Standby Phase after activation. Activate this card when a face-up Dinosaur-Type monster you control is destroyed and sent to the Graveyard (except during the Damage Step): Choose 3 of your opponent's unused Spell & Trap Zones. Those Zones cannot be used. If this card destroys itself: You can target 1 Dinosaur-Type monster in your Graveyard; add that target to your hand.","","","","Continuous","","","","OP04-EN025,LCJW-EN169,SD09-EN031,","OTS Tournament Pack 4,Legendary Collection 4: Joey's World Mega Pack,Structure Deck: Dinosaur's Rage,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/79569173.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/79569173.jpg"
"79870141","Mad Sword Beast","Effect Monster","If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.","1400","1200","4","Dinosaur","EARTH","","","PSV-091,DB1-EN201,SKE-022,TP4-020,LCJW-EN027,SD09-EN004,RP02-EN023,PSV-E091,PSV-EN091,","Pharaoh's Servant,Dark Beginning 1,Starter Deck: Kaiba Evolution,Tournament Pack 4,Legendary Collection 4: Joey's World Mega Pack,Structure Deck: Dinosaur's Rage,Retro Pack 2,Pharaoh's Servant,Pharaoh's Servant,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/79870141.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/79870141.jpg"
"83011278","Mystic Tomato","Effect Monster","When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 DARK monster with 1500 or less ATK from your Deck, in face-up Attack Position.","1400","1100","4","Plant","DARK","","","5DS1-EN017,DB1-EN057,DLG1-EN077,RP01-EN076,DASA-EN046,SRL-094,DT06-EN005,SKE-021,TP4-015,SDDC-EN016,SDMA-EN002,MRL-094,DL09-EN006,LCYW-EN239,HL03-EN005,SRL-EN094,MRL-E094,","Starter Deck: Yu-Gi-Oh! 5D's,Dark Beginning 1,Dark Legends,Retro Pack,Dark Saviors,Spell Ruler,Duel Terminal 6a,Starter Deck: Kaiba Evolution,Tournament Pack 4,Dragons Collide Structure Deck,Structure Deck: Marik (TCG),Magic Ruler,Duelist League 2010 participation cards,Legendary Collection 3: Yugi's World Mega Pack,Hobby League 3 participation card E,Spell Ruler,Spell Ruler,","","","","https://storage.googleapis.com/ygoprodeck.com/pics/83011278.jpg","https://storage.googleapis.com/ygoprodeck.com/pics_small/83011278.jpg"
