Catalogador,id,Categoría,name,type,desc,atk,def,level,race,attribute,archetype,set_tag,setcode,ban_tcg,ban_ocg,ban_goat,image_url,image_url_small,booster_oficial,LON,LOD,PGD,MFC,DCR
Eze,25345186,SR,After The Struggle,Spell Card,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.,,,,Normal,,,"LOD-086,DB2-EN195,LOD-EN086,","Legacy of Darkness,Dark Beginning 2,Legacy of Darkness,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/25345186.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/25345186.jpg,LOD,FALSE,TRUE,FALSE,FALSE,FALSE
Eze,16135253,R,Agido,Effect Monster,"When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)",1500,1300,4,Fairy,EARTH,,"DCR-080,DR1-EN242,DCR-EN080,","Dark Crisis,Dark Revelation Volume 1,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/16135253.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/16135253.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,18036057,SR,Airknight Parshath,Effect Monster,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. When this card inflicts battle damage to your opponent: Draw 1 card.",1900,1400,5,Fairy,LIGHT,Parshath,"SR05-EN005,BP01-EN124,BP02-EN016,BP01-EN124,SDLS-EN017,BP02-EN016,RP02-EN058,TP6-EN007,LOD-062,DB2-EN173,LOD-EN062,","Structure Deck: Wave of Light,Battle Pack: Epic Dawn,Battle Pack 2: War of the Giants,Battle Pack: Epic Dawn,Lost Sanctuary Structure Deck,Battle Pack 2: War of the Giants,Retro Pack 2,Tournament Pack 6,Legacy of Darkness,Dark Beginning 2,Legacy of Darkness,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/18036057.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/18036057.jpg,LOD,FALSE,TRUE,FALSE,FALSE,FALSE
Nico,48202661,C,Aitsu,Normal Monster,"He seems to be very unreliable, but he might have incredible potential.",100,100,5,Fairy,FIRE,,"MFC-056,DR1-EN111,","Magician's Force,Dark Revelation Volume 1,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/48202661.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/48202661.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,48202661,C,Aitsu,Normal Monster,"He seems to be very unreliable, but he might have incredible potential.",100,100,5,Fairy,FIRE,,"MFC-056,DR1-EN111,","Magician's Force,Dark Revelation Volume 1,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/48202661.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/48202661.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Eze,21070956,C,Altar for Tribute,Trap Card,Select 1 monster on your side of the field and send it to the Graveyard. Increase your Life Points by an amount equal to the original ATK of the monster.,,,,Normal,,,"DCR-095,DR1-EN257,DCR-EN095,","Dark Crisis,Dark Revelation Volume 1,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/21070956.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/21070956.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,91869203,C,Amazoness Archer,Effect Monster,You can Tribute 2 monsters; inflict 1200 damage to your opponent.,1400,1000,4,Warrior,EARTH,Amazoness,"LON-032,LEDU-EN012,DB1-EN233,GLD3-EN003,LON-E032,LON-EN032,","Labyrinth of Nightmare,Legendary Duelists,Dark Beginning 1,Gold Series 3,Labyrinth of Nightmare,Labyrinth of Nightmare,",,Banned,,https://storage.googleapis.com/ygoprodeck.com/pics/91869203.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/91869203.jpg,LON,TRUE,FALSE,FALSE,FALSE,FALSE
Nico,67987611,R,Amazoness Archers,Trap Card,"Activate only when your opponent declares an attack while you control an ""Amazoness"" monster. All monsters your opponent controls are changed to face-up Attack Position (Flip Effects are not activated), and lose 500 ATK as long as they remain face-up on the field. Your opponent must attack with all of their monsters.",,,,Normal,,Amazoness,"SS02-ENC15,GLD3-EN046,MFC-096,DR1-EN151,","Speed Duel Starter Decks: Duelists of Tomorrow,Gold Series 3,Magician's Force,Dark Revelation Volume 1,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/67987611.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/67987611.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,67987611,R,Amazoness Archers,Trap Card,"Activate only when your opponent declares an attack while you control an ""Amazoness"" monster. All monsters your opponent controls are changed to face-up Attack Position (Flip Effects are not activated), and lose 500 ATK as long as they remain face-up on the field. Your opponent must attack with all of their monsters.",,,,Normal,,Amazoness,"SS02-ENC15,GLD3-EN046,MFC-096,DR1-EN151,","Speed Duel Starter Decks: Duelists of Tomorrow,Gold Series 3,Magician's Force,Dark Revelation Volume 1,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/67987611.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/67987611.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,73574678,R,Amazoness Blowpiper,Effect Monster,Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.,800,1500,3,Warrior,EARTH,Amazoness,"DR1-EN117,MFC-062,GLD3-EN007,","Dark Revelation Volume 1,Magician's Force,Gold Series 3,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/73574678.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/73574678.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,73574678,R,Amazoness Blowpiper,Effect Monster,Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.,800,1500,3,Warrior,EARTH,Amazoness,"DR1-EN117,MFC-062,GLD3-EN007,","Dark Revelation Volume 1,Magician's Force,Gold Series 3,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/73574678.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/73574678.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,55821894,C,Amazoness Fighter,Effect Monster,You take no battle damage from attacks involving this card.,1500,1300,4,Warrior,EARTH,Amazoness,"MFC-060,DR1-EN115,LCJW-EN088,GLD3-EN005,","Magician's Force,Dark Revelation Volume 1,Legendary Collection 4: Joey's World Mega Pack,Gold Series 3,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/55821894.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/55821894.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,55821894,C,Amazoness Fighter,Effect Monster,You take no battle damage from attacks involving this card.,1500,1300,4,Warrior,EARTH,Amazoness,"MFC-060,DR1-EN115,LCJW-EN088,GLD3-EN005,","Magician's Force,Dark Revelation Volume 1,Legendary Collection 4: Joey's World Mega Pack,Gold Series 3,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/55821894.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/55821894.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,47480070,R,Amazoness Paladin,Effect Monster,"This card gains 100 ATK for each ""Amazoness"" monster you control.",1700,300,4,Warrior,EARTH,Amazoness,"DR1-EN114,MFC-059,GLD3-EN004,LCJW-EN087,","Dark Revelation Volume 1,Magician's Force,Gold Series 3,Legendary Collection 4: Joey's World Mega Pack,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/47480070.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/47480070.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,47480070,R,Amazoness Paladin,Effect Monster,"This card gains 100 ATK for each ""Amazoness"" monster you control.",1700,300,4,Warrior,EARTH,Amazoness,"DR1-EN114,MFC-059,GLD3-EN004,LCJW-EN087,","Dark Revelation Volume 1,Magician's Force,Gold Series 3,Legendary Collection 4: Joey's World Mega Pack,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/47480070.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/47480070.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,81325903,C,Amazoness Spellcaster,Spell Card,"Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn.",,,,Normal,,Amazoness,"DR1-EN139,TU04-EN018,LCJW-EN100,MFC-084,","Dark Revelation Volume 1,Turbo Pack: Booster Four,Legendary Collection 4: Joey's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/81325903.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/81325903.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,81325903,C,Amazoness Spellcaster,Spell Card,"Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn.",,,,Normal,,Amazoness,"DR1-EN139,TU04-EN018,LCJW-EN100,MFC-084,","Dark Revelation Volume 1,Turbo Pack: Booster Four,Legendary Collection 4: Joey's World Mega Pack,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/81325903.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/81325903.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,94004268,C,Amazoness Swords Woman,Effect Monster,Your opponent takes any battle damage you would have taken from battles involving this card instead.,1500,1600,4,Warrior,EARTH,Amazoness,"LEDU-EN013,SS02-ENC06,GLD3-EN006,DR1-EN116,MFC-061,TP7-EN007,","Legendary Duelists,Speed Duel Starter Decks: Duelists of Tomorrow,Gold Series 3,Dark Revelation Volume 1,Magician's Force,Tournament Pack 7,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/94004268.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/94004268.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,94004268,C,Amazoness Swords Woman,Effect Monster,Your opponent takes any battle damage you would have taken from battles involving this card instead.,1500,1600,4,Warrior,EARTH,Amazoness,"LEDU-EN013,SS02-ENC06,GLD3-EN006,DR1-EN116,MFC-061,TP7-EN007,","Legendary Duelists,Speed Duel Starter Decks: Duelists of Tomorrow,Gold Series 3,Dark Revelation Volume 1,Magician's Force,Tournament Pack 7,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/94004268.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/94004268.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,10979723,C,Amazoness Tiger,Effect Monster,"You can only control 1 ""Amazoness Tiger"". This card gains 400 ATK for each ""Amazoness"" monster you control. Your opponent cannot attack any face-up ""Amazoness"" monsters, except this one.",1100,1500,4,Beast,EARTH,Amazoness,"DR1-EN118,GLD3-EN008,MFC-063,LCJW-EN089,","Dark Revelation Volume 1,Gold Series 3,Magician's Force,Legendary Collection 4: Joey's World Mega Pack,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/10979723.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/10979723.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,10979723,C,Amazoness Tiger,Effect Monster,"You can only control 1 ""Amazoness Tiger"". This card gains 400 ATK for each ""Amazoness"" monster you control. Your opponent cannot attack any face-up ""Amazoness"" monsters, except this one.",1100,1500,4,Beast,EARTH,Amazoness,"DR1-EN118,GLD3-EN008,MFC-063,LCJW-EN089,","Dark Revelation Volume 1,Gold Series 3,Magician's Force,Legendary Collection 4: Joey's World Mega Pack,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/10979723.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/10979723.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Eze,67371383,SR,Amphibian Beast,Normal Monster,"On land or in the sea, the speed of this monster is unmatchable.",2400,2000,6,Fish,WATER,,"DB1-EN211,LON-008,LON-EN008,LON-E008,","Dark Beginning 1,Labyrinth of Nightmare,Labyrinth of Nightmare,Labyrinth of Nightmare,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/67371383.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/67371383.jpg,LON,TRUE,FALSE,FALSE,FALSE,FALSE
Nico,23927567,R,An Owl of Luck,Flip Effect Monster,"FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected Field Spell Card to your hand, instead.",300,500,2,Winged Beast,WIND,,"DR1-EN021,PGD-073,","Dark Revelation Volume 1,Pharaonic Guardian,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/23927567.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/23927567.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Nico,34236961,C,Ante,Spell Card,"Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard, and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)",,,,Normal,,,"BP01-EN074,DR1-EN089,BP01-EN074,MFC-034,","Battle Pack: Epic Dawn,Dark Revelation Volume 1,Battle Pack: Epic Dawn,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/34236961.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/34236961.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,34236961,C,Ante,Spell Card,"Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard, and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)",,,,Normal,,,"BP01-EN074,DR1-EN089,BP01-EN074,MFC-034,","Battle Pack: Epic Dawn,Dark Revelation Volume 1,Battle Pack: Epic Dawn,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/34236961.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/34236961.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,53112492,R,Anti-Spell,Trap Card,Remove 2 Spell Counters on your side of the field to negate the activation of a Spell Card and destroy it.,,,,Counter,,Anti,"DR1-EN158,TU02-EN016,MFC-103,","Dark Revelation Volume 1,Turbo Pack: Booster Two,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/53112492.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/53112492.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,53112492,R,Anti-Spell,Trap Card,Remove 2 Spell Counters on your side of the field to negate the activation of a Spell Card and destroy it.,,,,Counter,,Anti,"DR1-EN158,TU02-EN016,MFC-103,","Dark Revelation Volume 1,Turbo Pack: Booster Two,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/53112492.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/53112492.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,9156135,R,Apprentice Magician,Effect Monster,If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster-Type monster from your Deck in face-down Defense Position.,400,800,2,Spellcaster,DARK,Magician,"SDSC-EN008,SD6-EN007,DR1-EN121,MFC-066,BATT-EN002,CP04-EN004,","Spellcaster's Command Structure Deck,Structure Deck: Spellcaster's Judgment,Dark Revelation Volume 1,Magician's Force,Battle Pack Tournament Prize Cards,Champion Pack: Game Four,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/9156135.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/9156135.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,9156135,R,Apprentice Magician,Effect Monster,If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster-Type monster from your Deck in face-down Defense Position.,400,800,2,Spellcaster,DARK,Magician,"SDSC-EN008,SD6-EN007,DR1-EN121,MFC-066,BATT-EN002,CP04-EN004,","Spellcaster's Command Structure Deck,Structure Deck: Spellcaster's Judgment,Dark Revelation Volume 1,Magician's Force,Battle Pack Tournament Prize Cards,Champion Pack: Game Four,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/9156135.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/9156135.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Eze,40916023,SR,Aqua Spirit,Effect Monster,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WATER monster in your Graveyard. During each of your opponent's Standby Phases, you can change the battle position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn.",1600,1200,4,Aqua,WATER,,"LON-068,DB2-EN006,LON-E068,LON-EN068,","Labyrinth of Nightmare,Dark Beginning 2,Labyrinth of Nightmare,Labyrinth of Nightmare,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/40916023.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/40916023.jpg,LON,TRUE,FALSE,FALSE,FALSE,FALSE
Eze,49881766,SR,Archfiend Soldier,Normal Monster,An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the job done.,1900,1500,4,Fiend,DARK,Archfiend,"DR1-EN219,BP01-EN112,YSDS-EN005,BP01-EN112,YS15-ENL02,DCR-057,YS15-END02,DCR-EN057,","Dark Revelation Volume 1,Battle Pack: Epic Dawn,Starter Deck: Syrus Truesdale,Battle Pack: Epic Dawn,Dark Legion Starter Deck,Dark Crisis,2-Player Starter Deck: Yuya & Declan,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/49881766.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/49881766.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,22796548,C,Archfiend's Oath,Spell Card,"Once per turn: You can pay 500 Life Points, then declare 1 card name; excavate the top card of your Deck, and if it is the declared card, add it to your hand. Otherwise, send it to the Graveyard.",,,,Continuous,,Archfiend,"DR1-EN254,AP04-EN024,DCR-092,DCR-EN092,","Dark Revelation Volume 1,Astral Pack Four,Dark Crisis,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/22796548.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/22796548.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,56246017,R,Archfiend's Roar,Trap Card,"Pay 500 Life Points, then target 1 ""Archfiend"" monster in your Graveyard; Special Summon that target. It cannot be Tributed. Destroy it during the End Phase of this turn.",,,,Normal,,Archfiend,"DCR-099,AP03-EN025,DR1-EN261,DCR-EN099,","Dark Crisis,Astral Pack Three,Dark Revelation Volume 1,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/56246017.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/56246017.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
Eze,7180418,R,Armor Exe,Effect Monster,"This card cannot attack in the same turn it is Normal Summoned, Flip Summoned, or Special Summoned. During each of your and your opponent's Standby Phases, remove 1 Spell Counter on your side of the field. If you do not, destroy this card.",2400,1400,4,Rock,LIGHT,,"DR1-EN130,MFC-075,","Dark Revelation Volume 1,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/7180418.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/7180418.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Nico,7180418,SR,Armor Exe,Effect Monster,"This card cannot attack in the same turn it is Normal Summoned, Flip Summoned, or Special Summoned. During each of your and your opponent's Standby Phases, remove 1 Spell Counter on your side of the field. If you do not, destroy this card.",2400,1400,4,Rock,LIGHT,,"DR1-EN130,MFC-075,","Dark Revelation Volume 1,Magician's Force,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/7180418.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/7180418.jpg,MFC,FALSE,FALSE,FALSE,TRUE,FALSE
Eze,69296555,R,Array of Revealing Light,Spell Card,"Declare 1 Type of monster. Any monster of the declared Type cannot declare an attack during the turn it is Normal Summoned, Flip Summoned, or Special Summoned.",,,,Field,,,"DB2-EN148,LOD-029,LOD-EN029,","Dark Beginning 2,Legacy of Darkness,Legacy of Darkness,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/69296555.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/69296555.jpg,LOD,FALSE,TRUE,FALSE,FALSE,FALSE
Nico,42364374,R,Arsenal Bug,Effect Monster,"If you control no other Insect-Type monsters, this card's ATK and DEF become 1000.",2000,2000,3,Insect,EARTH,,"BP03-EN004,BP03-EN004,DB2-EN210,PGD-007,","Battle Pack 3: Monster League,Battle Pack 3: Monster League,Dark Beginning 2,Pharaonic Guardian,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/42364374.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/42364374.jpg,PGD,FALSE,FALSE,TRUE,FALSE,FALSE
Eze,55348096,C,Arsenal Robber,Trap Card,Your opponent selects 1 Equip Spell Card from his/her Deck and sends it to the Graveyard.,,,,Normal,,,"DR1-EN210,DCR-048,DCR-EN048,","Dark Revelation Volume 1,Dark Crisis,Dark Crisis,",,,,https://storage.googleapis.com/ygoprodeck.com/pics/55348096.jpg,https://storage.googleapis.com/ygoprodeck.com/pics_small/55348096.jpg,DCR,FALSE,FALSE,FALSE,FALSE,TRUE
