Card number,Name,Rarity,Category,RAW,ID,booster
LOB-EN036,King Fog,Common,Normal Monster,84686841,84686841,LOB
LOB-EN037,Mystical Sheep #2,Common,Normal Monster,30451366,30451366,LOB
LOB-EN038,Masaki the Legendary Swordsman,Common,Normal Monster,44287299,44287299,LOB
LOB-EN039,Kurama,Common,Normal Monster,85705804,85705804,LOB
LOB-EN040,Legendary Sword,Short Print,Equip Spell Card,61854111,61854111,LOB
LOB-EN041,Beast Fangs,Short Print,Equip Spell Card,46009906,46009906,LOB
LOB-EN042,Violet Crystal,Short Print,Equip Spell Card,15052462,15052462,LOB
LOB-EN043,Book of Secret Arts,Short Print,Equip Spell Card,91595718,91595718,LOB
LOB-EN044,Power of Kaishin,Short Print,Equip Spell Card,77027445,77027445,LOB
LOB-EN045,Dragon Capture Jar,Rare,Continuous Trap Card,50045299,50045299,LOB
LOB-EN046,Forest,Common,Field Spell Card,87430998,87430998,LOB
LOB-EN047,Wasteland,Common,Field Spell Card,23424603,23424603,LOB
LOB-EN048,Mountain,Common,Field Spell Card,50913601,50913601,LOB
LOB-EN049,Sogen,Common,Field Spell Card,86318356,86318356,LOB
LOB-EN050,Umi,Common,Field Spell Card,22702055,22702055,LOB
LOB-EN051,Yami,Common,Field Spell Card,59197169,59197169,LOB
LOB-EN052,Dark Hole,Super Rare,Normal Spell Card,53129443,53129443,LOB
LOB-EN053,Raigeki,Super Rare,Normal Spell Card,12580477,12580477,LOB
LOB-EN054,Red Medicine,Common,Normal Spell Card,38199696,38199696,LOB
LOB-EN055,Sparks,Common,Normal Spell Card,76103675,76103675,LOB
LOB-EN056,Hinotama,Common,Normal Spell Card,46130346,46130346,LOB
LOB-EN057,Fissure,Rare,Normal Spell Card,66788016,66788016,LOB
LOB-EN058,Trap Hole,Super Rare,Normal Trap Card,04206964,04206964,LOB
LOB-EN059,Polymerization,Super Rare,Normal Spell Card,24094653,24094653,LOB
LOB-EN060,Remove Trap,Common,Normal Spell Card,51482758,51482758,LOB
LOB-EN061,Two-Pronged Attack,Rare,Normal Trap Card,83887306,83887306,LOB
LOB-EN062,Mystical Elf,Super Rare,Normal Monster,15025844,15025844,LOB
LOB-EN063,Tyhone,Common,Normal Monster,72842870,72842870,LOB
LOB-EN064,Beaver Warrior,Common,Normal Monster,32452818,32452818,LOB
LOB-EN065,Gravedigger Ghoul,Rare,Normal Spell Card,82542267,82542267,LOB
LOB-EN066,Curse of Dragon,Super Rare,Normal Monster,28279543,28279543,LOB
LOB-EN067,Karbonala Warrior,Rare,Fusion Monster,54541900,54541900,LOB
LOB-EN068,Giant Soldier of Stone,Rare,Normal Monster,13039848,13039848,LOB
LOB-EN069,Uraby,Common,Normal Monster,01784619,01784619,LOB
LOB-EN070,Red-Eyes B. Dragon,Ultra Rare,Normal Monster,74677422,74677422,LOB
LOB-EN071,Reaper of the Cards,Rare,Flip monster,33066139,33066139,LOB
LOB-EN072,Witty Phantom,Common,Normal Monster,36304921,36304921,LOB
LOB-EN073,Larvas,Common,Normal Monster,94675535,94675535,LOB
LOB-EN074,Hard Armor,Common,Normal Monster,20060230,20060230,LOB
LOB-EN075,Man Eater,Common,Normal Monster,93553943,93553943,LOB
LOB-EN076,M-Warrior #1,Common,Normal Monster,56342351,56342351,LOB
LOB-EN077,M-Warrior #2,Common,Normal Monster,92731455,92731455,LOB
LOB-EN078,Spirit of the Harp,Rare,Normal Monster,80770678,80770678,LOB
LOB-EN079,Armaill,Common,Normal Monster,53153481,53153481,LOB
LOB-EN080,Terra the Terrible,Common,Normal Monster,63308047,63308047,LOB
LOB-EN081,Frenzied Panda,Common,Normal Monster,98818516,98818516,LOB
LOB-EN082,Kumootoko,Common,Normal Monster,56283725,56283725,LOB
LOB-EN083,Meda Bat,Common,Normal Monster,76211194,76211194,LOB
LOB-EN084,Enchanting Mermaid,Common,Normal Monster,75376965,75376965,LOB
LOB-EN085,Fireyarou,Common,Normal Monster,71407486,71407486,LOB
LOB-EN086,Dragoness the Wicked Knight,Rare,Fusion Monster,70681994,70681994,LOB
LOB-EN087,One-Eyed Shield Dragon,Common,Normal Monster,33064647,33064647,LOB
LOB-EN088,Dark Energy,Short Print,Equip Spell Card,04614116,04614116,LOB
LOB-EN089,Laser Cannon Armor,Short Print,Equip Spell Card,77007920,77007920,LOB
LOB-EN090,Vile Germs,Short Print,Equip Spell Card,39774685,39774685,LOB
LOB-EN091,Silver Bow and Arrow,Short Print,Equip Spell Card,01557499,01557499,LOB
LOB-EN092,Dragon Treasure,Short Print,Equip Spell Card,01435851,01435851,LOB
LOB-EN093,Electro-Whip,Short Print,Equip Spell Card,37820550,37820550,LOB
LOB-EN094,Mystical Moon,Short Print,Equip Spell Card,36607978,36607978,LOB
LOB-EN095,Stop Defense,Rare,Normal Spell Card,63102017,63102017,LOB
LOB-EN096,Machine Conversion Factory,Short Print,Equip Spell Card,25769732,25769732,LOB
LOB-EN097,Raise Body Heat,Super Short Print,Equip Spell Card,51267887,51267887,LOB
LOB-EN098,Follow Wind,Super Short Print,Equip Spell Card,98252586,98252586,LOB
LOB-EN099,Goblin's Secret Remedy,Rare,Normal Spell Card,11868825,11868825,LOB
LOB-EN100,Final Flame,Rare,Normal Spell Card,73134081,73134081,LOB
LOB-EN101,Swords of Revealing Light,Super Rare,Normal Spell Card,72302403,72302403,LOB
LOB-EN102,Metal Dragon,Rare,Fusion Monster,9293977,09293977,LOB
LOB-EN103,Spike Seadra,Common,Normal Monster,85326399,85326399,LOB
LOB-EN104,Tripwire Beast,Common,Normal Monster,45042329,45042329,LOB
LOB-EN105,Skull Red Bird,Common,Normal Monster,10202894,10202894,LOB
LOB-EN106,Armed Ninja,Rare,Flip monster,09076207,09076207,LOB
LOB-EN107,Flower Wolf,Rare,Fusion Monster,95952802,95952802,LOB
LOB-EN108,Man-Eater Bug,Super Rare,Flip monster,54652250,54652250,LOB
LOB-EN109,Sand Stone,Common,Normal Monster,73051941,73051941,LOB
LOB-EN110,Hane-Hane,Rare,Flip monster,07089711,07089711,LOB
LOB-EN111,Misairuzame,Common,Normal Monster,33178416,33178416,LOB
LOB-EN112,Steel Ogre Grotto #1,Common,Normal Monster,29172562,29172562,LOB
LOB-EN113,Lesser Dragon,Common,Normal Monster,55444629,55444629,LOB
LOB-EN114,Darkworld Thorns,Common,Normal Monster,43500484,43500484,LOB
LOB-EN115,Drooling Lizard,Common,Normal Monster,16353197,16353197,LOB
LOB-EN116,Armored Starfish,Common,Normal Monster,17535588,17535588,LOB
LOB-EN117,Succubus Knight,Common,Normal Monster,55291359,55291359,LOB
LOB-EN118,Monster Reborn,Ultra Rare,Normal Spell Card,83764718,83764718,LOB
LOB-EN119,Pot of Greed,Rare,Normal Spell Card,55144522,55144522,LOB
LOB-EN120,Right Leg of the Forbidden One,Ultra Rare,Normal Monster,08124921,08124921,LOB
LOB-EN121,Left Leg of the Forbidden One,Ultra Rare,Normal Monster,44519536,44519536,LOB
LOB-EN122,Right Arm of the Forbidden One,Ultra Rare,Normal Monster,70903634,70903634,LOB
LOB-EN123,Left Arm of the Forbidden One,Ultra Rare,Normal Monster,07902349,07902349,LOB
LOB-EN124,Exodia the Forbidden One,Ultra Rare,Effect Monster,33396948,33396948,LOB
LOB-EN125,Gaia the Dragon Champion,Secret Rare,Fusion Monster,66889139,66889139,LOB
MRD-EN000,Gate Guardian,Secret Rare,Effect Monster,25833572,25833572,MRD
MRD-EN001,Feral Imp,Common,Normal Monster,41392891,41392891,MRD
MRD-EN002,Winged Dragon Guardian of the Fortress #1,Common,Normal Monster,87796900,87796900,MRD
MRD-EN003,Summoned Skull,Ultra Rare,Normal Monster,70781052,70781052,MRD
MRD-EN004,Rock Ogre Grotto #1,Common,Normal Monster,68846917,68846917,MRD
MRD-EN005,Armored Lizard,Common,Normal Monster,15480588,15480588,MRD
MRD-EN006,Killer Needle,Common,Normal Monster,88979991,88979991,MRD
MRD-EN007,Larvae Moth,Common,Effect Monster,87756343,87756343,MRD
MRD-EN008,Harpie Lady,Common,Normal Monster,76812113,76812113,MRD
MRD-EN009,Harpie Lady Sisters,Super Rare,Effect Monster,12206212,12206212,MRD
MRD-EN010,Kojikocy,Common,Normal Monster,01184620,01184620,MRD
MRD-EN011,Cocoon of Evolution,Super Short Print,Effect Monster,40240595,40240595,MRD
MRD-EN012,Crawling Dragon,Common,Normal Monster,67494157,67494157,MRD
MRD-EN013,Armored Zombie,Common,Normal Monster,20277860,20277860,MRD
MRD-EN014,Mask of Darkness,Rare,Flip monster,28933734,28933734,MRD
MRD-EN015,Doma The Angel of Silence,Common,Normal Monster,16972957,16972957,MRD
MRD-EN016,White Magical Hat,Rare,Effect Monster,15150365,15150365,MRD
MRD-EN017,Big Eye,Common,Flip monster,16768387,16768387,MRD
MRD-EN018,B. Skull Dragon,Ultra Rare,Fusion Monster,11901678,11901678,MRD
MRD-EN019,Masked Sorcerer,Rare,Effect Monster,10189126,10189126,MRD
MRD-EN020,Roaring Ocean Snake,Common,Fusion Monster,19066538,19066538,MRD
MRD-EN021,Water Omotics,Common,Normal Monster,02483611,02483611,MRD
MRD-EN022,Ground Attacker Bugroth,Common,Normal Monster,58314394,58314394,MRD
MRD-EN023,Petit Moth,Common,Normal Monster,58192742,58192742,MRD
MRD-EN024,Elegant Egotist,Rare,Normal Spell Card,90219263,90219263,MRD
MRD-EN025,Sanga of the Thunder,Super Rare,Effect Monster,25955164,25955164,MRD
MRD-EN026,Kazejin,Super Rare,Effect Monster,62340868,62340868,MRD
MRD-EN027,Suijin,Super Rare,Effect Monster,98434877,98434877,MRD
MRD-EN028,Mystic Lamp,Short Print,Effect Monster,98049915,98049915,MRD
MRD-EN029,Steel Scorpion,Common,Effect Monster,13599884,13599884,MRD
MRD-EN030,Ocubeam,Common,Normal Monster,86088138,86088138,MRD
MRD-EN031,Leghul,Short Print,Effect Monster,12472242,12472242,MRD
MRD-EN032,Ooguchi,Short Print,Effect Monster,58861941,58861941,MRD
MRD-EN033,Leogun,Common,Normal Monster,10538007,10538007,MRD
MRD-EN034,Blast Juggler,Common,Effect Monster,70138455,70138455,MRD
MRD-EN035,Jinzo #7,Short Print,Effect Monster,32809211,32809211,MRD
MRD-EN036,Magician of Faith,Rare,Flip monster,31560081,31560081,MRD
MRD-EN037,Ancient Elf,Common,Normal Monster,93221206,93221206,MRD
MRD-EN038,Deepsea Shark,Common,Fusion Monster,28593363,28593363,MRD
MRD-EN039,Bottom Dweller,Common,Normal Monster,81386177,81386177,MRD
MRD-EN040,Destroyer Golem,Common,Normal Monster,73481154,73481154,MRD
MRD-EN041,Kaminari Attack,Common,Fusion Monster,09653271,09653271,MRD
MRD-EN042,Rainbow Flower,Short Print,Effect Monster,21347810,21347810,MRD
MRD-EN043,Morinphen,Common,Normal Monster,55784832,55784832,MRD
MRD-EN044,Mega Thunderball,Common,Normal Monster,21817254,21817254,MRD
MRD-EN045,Tongyo,Common,Normal Monster,69572024,69572024,MRD
MRD-EN046,Empress Judge,Common,Fusion Monster,15237615,15237615,MRD
MRD-EN047,Pale Beast,Common,Normal Monster,21263083,21263083,MRD
MRD-EN048,Electric Lizard,Common,Effect Monster,55875323,55875323,MRD
MRD-EN049,Hunter Spider,Common,Normal Monster,80141480,80141480,MRD
MRD-EN050,Ancient Lizard Warrior,Common,Normal Monster,43230671,43230671,MRD
MRD-EN051,Queen's Double,Short Print,Effect Monster,5901497,05901497,MRD
MRD-EN052,Trent,Common,Normal Monster,78780140,78780140,MRD
MRD-EN053,Disk Magician,Common,Normal Monster,76446915,76446915,MRD
MRD-EN054,Hyosube,Common,Normal Monster,2118022,02118022,MRD
MRD-EN055,Hibikime,Common,Normal Monster,64501875,64501875,MRD
MRD-EN056,Fake Trap,Rare,Normal Trap Card,03027001,03027001,MRD
MRD-EN057,Tribute to the Doomed,Super Rare,Normal Spell Card,79759861,79759861,MRD
MRD-EN058,Soul Release,Common,Normal Spell Card,05758500,05758500,MRD
MRD-EN059,The Cheerful Coffin,Common,Normal Spell Card,41142615,41142615,MRD
MRD-EN060,Change of Heart,Ultra Rare,Normal Spell Card,04031928,04031928,MRD
MRD-EN061,Baby Dragon,Short Print,Normal Monster,88819587,88819587,MRD
MRD-EN062,Blackland Fire Dragon,Common,Normal Monster,87564352,87564352,MRD
MRD-EN063,Swamp Battleguard,Common,Effect Monster,40453765,40453765,MRD
MRD-EN064,Battle Steer,Common,Normal Monster,18246479,18246479,MRD
MRD-EN065,Time Wizard,Ultra Rare,Effect Monster,71625222,71625222,MRD
MRD-EN066,Saggi the Dark Clown,Common,Normal Monster,66602787,66602787,MRD
MRD-EN067,Dragon Piper,Common,Flip monster,55763552,55763552,MRD
MRD-EN068,Illusionist Faceless Mage,Common,Normal Monster,28546905,28546905,MRD
MRD-EN069,Sangan,Rare,Effect Monster,26202165,26202165,MRD
MRD-EN070,Great Moth,Rare,Effect Monster,14141448,14141448,MRD
MRD-EN071,Kuriboh,Super Rare,Effect Monster,40640057,40640057,MRD
MRD-EN072,Jellyfish,Common,Normal Monster,14851496,14851496,MRD
MRD-EN073,Castle of Dark Illusions,Common,Effect Monster,00062121,00062121,MRD
MRD-EN074,King of Yamimakai,Common,Normal Monster,69455834,69455834,MRD
MRD-EN075,Catapult Turtle,Super Rare,Effect Monster,95727991,95727991,MRD
MRD-EN076,Mystic Horseman,Common,Normal Monster,68516705,68516705,MRD
MRD-EN077,Rabid Horseman,Common,Fusion Monster,94905343,94905343,MRD
MRD-EN078,Crass Clown,Short Print,Effect Monster,93889755,93889755,MRD
MRD-EN079,Pumpking the King of Ghosts,Common,Effect Monster,29155212,29155212,MRD
MRD-EN080,Dream Clown,Short Print,Effect Monster,13215230,13215230,MRD
MRD-EN081,Tainted Wisdom,Common,Effect Monster,28725004,28725004,MRD
MRD-EN082,Ancient Brain,Common,Normal Monster,42431843,42431843,MRD
MRD-EN083,Guardian of the Labyrinth,Common,Normal Monster,89272878,89272878,MRD
MRD-EN084,Prevent Rat,Common,Normal Monster,00549481,00549481,MRD
MRD-EN085,The Little Swordsman of Aile,Common,Effect Monster,25109950,25109950,MRD
MRD-EN086,Princess of Tsurugi,Rare,Flip monster,51371017,51371017,MRD
MRD-EN087,Protector of the Throne,Common,Normal Monster,10071456,10071456,MRD
MRD-EN088,Tremendous Fire,Common,Normal Spell Card,46918794,46918794,MRD
MRD-EN089,Jirai Gumo,Common,Effect Monster,94773007,94773007,MRD
MRD-EN090,Shadow Ghoul,Rare,Effect Monster,30778711,30778711,MRD
MRD-EN091,Labyrinth Tank,Common,Fusion Monster,99551425,99551425,MRD
MRD-EN092,Ryu-Kishin Powered,Common,Normal Monster,24611934,24611934,MRD
MRD-EN093,Bickuribox,Common,Fusion Monster,25655502,25655502,MRD
MRD-EN094,Giltia the D. Knight,Common,Fusion Monster,51828629,51828629,MRD
MRD-EN095,Launcher Spider,Common,Normal Monster,87322377,87322377,MRD
MRD-EN096,Giga-Tech Wolf,Common,Normal Monster,8471389,08471389,MRD
MRD-EN097,Thunder Dragon,Short Print,Effect Monster,31786629,31786629,MRD
MRD-EN098,7 Colored Fish,Common,Normal Monster,23771716,23771716,MRD
MRD-EN099,The Immortal of Thunder,Common,Effect Monster,84926738,84926738,MRD
MRD-EN100,Punished Eagle,Common,Fusion Monster,74703140,74703140,MRD
MRD-EN101,Insect Soldiers of the Sky,Common,Effect Monster,7019529,07019529,MRD
MRD-EN102,Hoshiningen,Rare,Effect Monster,67629977,67629977,MRD
MRD-EN103,Musician King,Common,Fusion Monster,56907389,56907389,MRD
MRD-EN104,Yado Karu,Common,Effect Monster,29380133,29380133,MRD
MRD-EN105,Cyber Saurus,Common,Fusion Monster,89112729,89112729,MRD
MRD-EN106,Cannon Soldier,Rare,Effect Monster,11384280,11384280,MRD
MRD-EN107,Muka Muka,Rare,Effect Monster,46657337,46657337,MRD
MRD-EN108,The Bistro Butcher,Common,Effect Monster,71107816,71107816,MRD
MRD-EN109,Star Boy,Rare,Effect Monster,08201910,08201910,MRD
MRD-EN110,Milus Radiant,Rare,Effect Monster,07489323,07489323,MRD
MRD-EN111,Flame Cerebrus,Common,Normal Monster,60862676,60862676,MRD
MRD-EN112,Niwatori,Common,Normal Monster,7805359,07805359,MRD
MRD-EN113,Dark Elf,Rare,Effect Monster,21417692,21417692,MRD
MRD-EN114,Mushroom Man #2,Common,Effect Monster,93900406,93900406,MRD
MRD-EN115,Lava Battleguard,Common,Effect Monster,20394040,20394040,MRD
MRD-EN116,Witch of the Black Forest,Rare,Effect Monster,78010363,78010363,MRD
MRD-EN117,Little Chimera,Rare,Effect Monster,68658728,68658728,MRD
MRD-EN118,Bladefly,Rare,Effect Monster,28470714,28470714,MRD
MRD-EN119,Lady of Faith,Common,Normal Monster,17358176,17358176,MRD
MRD-EN120,Twin-Headed Thunder Dragon,Super Rare,Fusion Monster,54752875,54752875,MRD
MRD-EN121,Witch's Apprentice,Rare,Effect Monster,80741828,80741828,MRD
MRD-EN122,Blue-Winged Crown,Common,Normal Monster,41396436,41396436,MRD
MRD-EN123,Skull Knight,Common,Fusion Monster,2504891,02504891,MRD
MRD-EN124,Gazelle the King of Mythical Beasts,Super Short Print,Normal Monster,05818798,05818798,MRD
MRD-EN125,Garnecia Elefantis,Super Rare,Normal Monster,49888191,49888191,MRD
MRD-EN126,Barrel Dragon,Ultra Rare,Effect Monster,81480460,81480460,MRD
MRD-EN127,Solemn Judgment,Ultra Rare,Counter Trap Card,41420027,41420027,MRD
MRD-EN128,Magic Jammer,Ultra Rare,Counter Trap Card,77414722,77414722,MRD
MRD-EN129,Seven Tools of the Bandit,Ultra Rare,Counter Trap Card,03819470,03819470,MRD
MRD-EN130,Horn of Heaven,Ultra Rare,Counter Trap Card,98069388,98069388,MRD
MRD-EN131,Shield & Sword,Rare,Normal Spell Card,52097679,52097679,MRD
MRD-EN132,Sword of Deep-Seated,Common,Equip Spell Card,98495314,98495314,MRD
MRD-EN133,Block Attack,Common,Normal Spell Card,25880422,25880422,MRD
MRD-EN134,The Unhappy Maiden,Short Print,Effect Monster,51275027,51275027,MRD
MRD-EN135,Robbin' Goblin,Rare,Continuous Trap Card,88279736,88279736,MRD
MRD-EN136,Germ Infection,Common,Equip Spell Card,24668830,24668830,MRD
MRD-EN137,Paralyzing Potion,Common,Equip Spell Card,50152549,50152549,MRD
MRD-EN138,Mirror Force,Ultra Rare,Normal Trap Card,44095762,44095762,MRD
MRD-EN139,Ring of Magnetism,Common,Equip Spell Card,20436034,20436034,MRD
MRD-EN140,Share the Pain,Common,Normal Spell Card,56830749,56830749,MRD
MRD-EN141,Stim-Pack,Short Print,Equip Spell Card,83225447,83225447,MRD
MRD-EN142,Heavy Storm,Super Rare,Normal Spell Card,19613556,19613556,MRD
MRD-EN143,Thousand Dragon,Secret Rare,Fusion Monster,41462083,41462083,MRD
